Time;Array Size
0.0699999;500
0.0790167;600
0.0813125;700
0.0828417;800
0.0839751;900
0.0953;1000
0.0976582;1100
0.0997293;1200
0.104887;1300
0.109821;1400
0.117933;1500
0.123104;1600
0.13125;1700
0.140054;1800
0.148437;1900
0.156542;2000
0.164125;2100
0.174037;2200
0.182738;2300
0.195075;2400
0.20575;2500
0.213325;2600
0.222521;2700
0.2332;2800
0.242558;2900
0.250162;3000
0.25685;3100
0.265137;3200
0.275083;3300
0.285108;3400
0.294596;3500
0.305383;3600
0.323146;3700
0.329033;3800
0.334512;3900
0.452396;4000
0.380925;4100
0.781833;4200
0.384596;4300
0.406558;4400
0.384175;4500
0.413521;4600
0.501054;4700
0.480834;4800
0.462658;4900
0.443229;5000
0.450883;5100
0.4571;5200
0.466192;5300
0.478275;5400
0.489629;5500
0.499946;5600
0.507913;5700
0.5177;5800
0.525975;5900
0.5328;6000
0.558604;6100
0.565071;6200
0.572271;6300
0.581829;6400
0.594704;6500
0.604308;6600
0.610587;6700
0.647162;6800
0.633783;6900
0.640383;7000
0.649942;7100
0.655204;7200
0.667679;7300
0.693333;7400
0.690083;7500
0.699292;7600
0.728021;7700
0.716933;7800
0.724004;7900
0.734758;8000
0.749375;8100
0.75445;8200
0.765108;8300
0.780979;8400
0.799175;8500
0.808975;8600
0.815042;8700
0.822492;8800
0.832521;8900
0.844092;9000
0.8526;9100
0.874996;9200
0.867892;9300
0.879808;9400
0.894975;9500
0.904646;9600
0.92505;9700
0.943075;9800
0.952525;9900
0.955783;10000
